,名称,类型,所属阵营,强满标准射速,强满迎击标准射速,航空,反潜,特性,舰载机航速,舰载机强满耐久,回避上限(%)
0,AD-1天袭者T0,轰炸机,白鹰,13.20s/轮,,65,,轰炸,45,648.0,2.2
1,试作舰载型天雷T0,轰炸机,重樱,12.00s/轮,,65,,轰炸,52,543.0,1.1
2,SBD无畏(麦克拉斯基队)T0,轰炸机,白鹰,11.71s/轮,,45,,轰炸,46,554.0,2.0
3,实验型XSB3C-1T0,轰炸机,白鹰,11.90s/轮,,45,,轰炸,45,599.0,1.5
4,BTD-1毁灭者T3,轰炸机,白鹰,11.71s/轮,,45,,轰炸,45,554.0,2.0
5,萤火虫T0,轰炸机,皇家,11.11s/轮,,45,,轰炸,47,528.0,7.0
6,萤火虫(1771中队)T0,轰炸机,皇家,10.80s/轮,,45,,轰炸,47,538.0,7.0
7,梭鱼(831中队)T0,轰炸机,皇家,10.38s/轮,,45,,轰炸,52,456.0,6.0
8,彗星T3,轰炸机,重樱,10.44s/轮,,45,,轰炸,48,501.0,1.0
9,彗星一二型甲T0,轰炸机,重樱,9.98s/轮,,45,,轰炸,48,501.0,1.0
10,彗星二一型T0,轰炸机,重樱,12.97s/轮,,45,,轰炸,48,501.0,1.0
11,试作舰载型Su-2T0,轰炸机,北方联合,12.00s/轮,,45,,轰炸,45,599.0,1.5
12,SB2C地狱俯冲者T3,轰炸机,白鹰,11.88s/轮,,25,,轰炸,45,509.0,1.0
13,BTD-1毁灭者T2,轰炸机,白鹰,12.02s/轮,,25,,轰炸,45,509.0,1.8
14,海燕T3,轰炸机,皇家,9.18s/轮,,25,,轰炸,48,484.0,1.0
15,九九式舰爆T3,轰炸机,重樱,10.91s/轮,,25,,轰炸,45,460.0,1.0
16,九九式舰爆改T0,轰炸机,重樱,10.51s/轮,,25,,轰炸,45,460.0,1.0
17,彗星T2,轰炸机,重樱,10.71s/轮,,25,,轰炸,48,460.0,0.9
18,Ju-87C俯冲轰炸机T3,轰炸机,铁血,11.57s/轮,,25,,轰炸,46,484.0,1.0
19,SBD无畏T3,轰炸机,白鹰,12.64s/轮,,12,,轰炸,45,351.0,1.0
20,SB2C地狱俯冲者T2,轰炸机,白鹰,12.89s/轮,,12,,轰炸,45,351.0,0.9
21,BTD-1毁灭者T1,轰炸机,白鹰,14.68s/轮,,12,,轰炸,45,351.0,1.6
22,贼鸥T3,轰炸机,皇家,11.77s/轮,,12,,轰炸,45,335.0,1.0
23,海燕T2,轰炸机,皇家,10.24s/轮,,12,,轰炸,48,335.0,0.9
24,九九式舰爆T2,轰炸机,重樱,11.90s/轮,,12,,轰炸,45,318.0,0.9
25,彗星T1,轰炸机,重樱,11.83s/轮,,12,,轰炸,48,,0.8
26,Ju-87C俯冲轰炸机T2,轰炸机,铁血,12.64s/轮,,12,,轰炸,46,335.0,0.9
27,He-50b舰载轰炸机T0,轰炸机,铁血,11.90s/轮,,12,,轰炸,48,335.0,0.8
28,SBD无畏T1,轰炸机,白鹰,14.03s/轮,,0,,轰炸,45,215.0,0.8
29,SBD无畏T2,轰炸机,白鹰,13.77s/轮,,5,,轰炸,45,241.0,0.9
30,SB2C地狱俯冲者T1,轰炸机,白鹰,13.71s/轮,,5,,轰炸,45,241.0,0.8
31,贼鸥T1,轰炸机,皇家,12.77s/轮,,0,,轰炸,45,204.0,0.8
32,贼鸥T2,轰炸机,皇家,12.57s/轮,,5,,轰炸,45,230.0,0.9
33,海燕T1,轰炸机,皇家,11.11s/轮,,5,,轰炸,48,230.0,0.8
34,九九式舰爆T1,轰炸机,重樱,12.70s/轮,,5,,轰炸,45,218.0,0.8
35,Ju-87C俯冲轰炸机T1,轰炸机,铁血,13.57s/轮,,5,,轰炸,46,230.0,0.8
