,名称,类型,所属阵营,强满标准射速,强满迎击标准射速,航空,反潜,特性,舰载机航速,舰载机强满耐久,回避上限(%)
0,F2A水牛(萨奇队)T0,战斗机,白鹰,9.44s/轮,9.44s/轮,45,,空战,45,485,10.0
1,F4U(VF-17“海盗”中队)T0,战斗机,白鹰,10.20s/轮,10.20s/轮,45,,空战,49,529,12.0
2,F6F地狱猫T3,战斗机,白鹰,10.90s/轮,9.92s/轮,45,,空战,50,529,11.0
3,F7F虎猫T0,战斗机,白鹰,10.81s/轮,10.81s/轮,45,,空战,52,635,12.0
4,F8F熊猫T0,战斗机,白鹰,9.64s/轮,9.64s/轮,45,,空战,50,572,12.0
5,试作型XF5U飞碟T0,战斗机,白鹰,11.00s/轮,9.01s/轮,45,,空战,42,740,12.0
6,F6F地狱猫(HVAR搭载型)T0,战斗机,白鹰,10.65s/轮,,45,,空战,50,529,11.0
7,海喷火FR.47T0,战斗机,皇家,10.62s/轮,10.14s/轮,45,,空战,51,511,10.0
8,海毒牙T3,战斗机,皇家,10.60s/轮,10.14s/轮,45,,空战,53,504,10.0
9,海怒T0,战斗机,皇家,10.61s/轮,10.61s/轮,45,,空战,52,514,10.0
10,海大黄蜂T0,战斗机,皇家,10.61s/轮,10.61s/轮,45,,空战,60,595,10.0
11,零战五二型T3,战斗机,重樱,9.52s/轮,9.16s/轮,45,,空战,55,479,9.0
12,烈风T3,战斗机,重樱,10.44s/轮,10.44s/轮,45,,空战,60,479,10.0
13,紫电改二T0,战斗机,重樱,10.71s/轮,10.64s/轮,45,,空战,60,431,10.0
14,Me-155A舰载战斗机T3,战斗机,铁血,9.24s/轮,9.91s/轮,45,,空战,50,504,10.0
15,试作舰载型BF-109GT0,战斗机,铁血,10.58s/轮,,45,,空战,50,504,10.0
16,试作型XF2A-4水牛T0,战斗机,白鹰,11.76s/轮,11.76s/轮,25,,空战,45,485,9.5
17,F4F野猫T3,战斗机,白鹰,10.55s/轮,10.55s/轮,25,,空战,48,485,10.0
18,F4U海盗T3,战斗机,白鹰,11.03s/轮,10.36s/轮,25,,空战,48,485,10.0
19,F6F地狱猫T2,战斗机,白鹰,11.15s/轮,10.18s/轮,25,,空战,50,485,10.5
20,XF5F天箭T0,战斗机,白鹰,8.98s/轮,8.98s/轮,25,,空战,47,485,9.0
21,海喷火T3,战斗机,皇家,10.97s/轮,10.83s/轮,25,,空战,50,462,10.0
22,海毒牙T2,战斗机,皇家,10.86s/轮,10.39s/轮,25,,空战,53,462,9.5
23,零战二一型T3,战斗机,重樱,10.24s/轮,9.88s/轮,25,,空战,52,439,9.0
24,零战三二型T0,战斗机,重樱,10.00s/轮,10.00s/轮,25,,空战,53,439,9.0
25,零战五二型T2,战斗机,重樱,9.76s/轮,9.40s/轮,25,,空战,55,439,8.5
26,烈风T2,战斗机,重樱,10.76s/轮,10.76s/轮,25,,空战,60,439,9.5
27,BF-109T舰载战斗机T3,战斗机,铁血,9.78s/轮,10.57s/轮,25,,空战,50,462,9.0
28,试作型舰载FW-190 A-5T0,战斗机,铁血,11.37s/轮,11.37s/轮,25,,空战,51,462,10.0
